"X","work","home","num_of_workers","BG","origin_lat","origin_lon","dest_lat","dest_lon","distance","duration","dest_time","far"
30,60371152021008,60650301043000,1,60650301043,34.0077899,-117.3671563,34.2363926,-118.534972,130269,5035,10.3986111111111,"120-160"
31,60371197001001,60650301043026,1,60650301043,34.0006773,-117.3625596,34.214632,-118.4252222,114660,4331,10.2030555555556,"80-120"
32,60371200301003,60650301043017,1,60650301043,34.0025476,-117.3582775,34.2159588,-118.4487697,116846,4549,10.2636111111111,"80-120"
33,60371200301006,60650301043025,1,60650301043,34.0012498,-117.3620103,34.2129814,-118.4516208,117298,4684,10.3011111111111,"80-120"
34,60371204001006,60650301043017,1,60650301043,34.0025476,-117.3582775,34.2110569,-118.4298405,113330,4351,10.2086111111111,"80-120"
35,60371211021024,60650301043000,1,60650301043,34.0077899,-117.3671563,34.2332582,-118.3749049,107890,4104,10.14,"80-120"
36,60371241021002,60650301043016,1,60650301043,34.0031124,-117.3597635,34.1781407,-118.383853,107422,4139,10.1497222222222,"80-120"
37,60371287023000,60650301043021,1,60650301043,33.9995933,-117.3546803,34.158513,-118.4405105,111718,4203,10.1675,"80-120"
38,60371349051000,60650301043024,1,60650301043,33.999774,-117.3589672,34.1858532,-118.5744851,124189,4725,10.3125,"120-160"
39,60371349051003,60650301043001,1,60650301043,34.0070262,-117.3681027,34.1856022,-118.595082,125850,4933,10.3702777777778,"120-160"
40,60371351142001,60650301043010,1,60650301043,34.0046433,-117.3693954,34.1904438,-118.603662,127657,5074,10.4094444444444,"120-160"
41,60371371041005,60650301043010,1,60650301043,34.0046433,-117.3693954,34.1710425,-118.5925535,124336,4742,10.3172222222222,"120-160"
42,60371414002007,60650301043012,1,60650301043,34.0027005,-117.3645093,34.1552405,-118.480343,115328,4393,10.2202777777778,"80-120"
43,60371432001003,60650301043007,1,60650301043,34.0017148,-117.3652335,34.1486596,-118.3675043,103744,3868,10.0744444444444,"80-120"
44,60371437002001,60650301043013,1,60650301043,34.004432,-117.3652038,34.1284509,-118.3482151,103339,4083,10.1341666666667,"80-120"
